algorithm,matrix_size,block_size,time_seconds,cpu_atom_cycles,cpu_core_cycles,cpu_atom_instructions,ipc_atom,cpu_core_instructions,ipc_core,cpu_atom_cache_references,cpu_core_cache_references,cpu_atom_cache_misses,cpu_core_cache_misses,cpu_atom_l1_dcache_loads,cpu_core_l1_dcache_loads,cpu_atom_l1_dcache_load_misses,cpu_core_l1_dcache_load_misses,cpu_atom_llc_loads,cpu_core_llc_loads,cpu_atom_llc_load_misses,cpu_core_llc_load_misses,cpu_core_mem_load_retired_l1_miss,cpu_core_mem_load_retired_l2_miss,elapsed_seconds,user_seconds,sys_seconds,cpu_atom_mem_load_retired_l1_miss,cpu_atom_mem_load_retired_l2_miss,cache_miss_rate,l1_miss_rate,llc_miss_rate,instructions_per_cycle,gflops_estimate,normalized_cache_misses_per_element,normalized_l1_misses_per_element,speedup_vs_onmult,speedup_vs_onmultline
OnMultBlock,4096.0,256.0,21.908,,101214903693.0,,,484821656262.0,4.79,,296164384.0,,81391201.0,,137968718102.0,,2512241536.0,,20252671.0,,4568409.0,2435287608.0,19886879.0,22.040328069,21.923219,0.113985,,,0.2748176532935169,0.018208776384678046,0.22557069139176752,4.79,6.235794360307623,4.851293623447418,149.74126434326172,,1.516760234845123
OnMultBlock,4096.0,512.0,21.919,75934599119.0,105272662318.0,147513373320.0,1.94,483361804503.0,4.59,980440567.0,8768920192.0,458244873.0,75782379.0,38691381741.0,137812190578.0,,5274878685.0,126224835.0,413787110.0,666127.0,9973068.0,5306575353.0,417564253.0,22.055959311,21.936307,0.11498,,,0.008642156313514776,0.03827584963911072,0.024101930096372504,4.59,6.231375000925707,4.516981780529022,314.4072702527046,,1.5156852942382544
OnMultBlock,6144.0,128.0,77.181,244134140143.0,370302096946.0,690779731045.0,2.83,1646035664524.0,4.45,699296358.0,1331315812.0,344430081.0,226606094.0,195419836033.0,466346061275.0,,7734901052.0,89814803.0,83374532.0,727209.0,6622526.0,7490570798.0,85048007.0,77.47026128,77.210446,0.242947,,,0.17021212544570904,0.016586182867831277,0.0794310425634533,4.45,5.987542320161903,6.003011438581678,204.90490203433566,,1.5012746264355956
OnMultBlock,6144.0,256.0,74.458,256054551787.0,353724530445.0,279270180669.0,1.09,1635309370875.0,4.62,2623857317.0,17050022419.0,1034765545.0,284090338.0,70700699525.0,465168623611.0,,11592384596.0,408087362.0,955584571.0,69770.0,15720024.0,11591294410.0,976921204.0,74.732973572,74.486623,0.231955,,,0.01666216800298273,0.024920822273030607,0.01645068838182403,4.62,6.206851484654316,7.525823858049181,307.0933181974623,,1.5562626776913817
OnMultBlock,6144.0,512.0,74.866,247572644394.0,357127129525.0,406215625792.0,1.64,1630581308236.0,4.57,5374922435.0,36853913792.0,1544627710.0,243205948.0,103852752586.0,464680755396.0,,18426915316.0,619958936.0,1505975436.0,3896700.0,29324801.0,18496157847.0,1498226928.0,75.133523113,74.899253,0.218953,,,0.006599189149153367,0.039654999915579935,0.01947229702357509,4.57,6.173761707811372,6.442757394578722,488.14655187394885,,1.5479659776912078
OnMultBlock,8192.0,128.0,203.006,657093918611.0,939891359805.0,676179272830.0,1.03,3899802971760.0,4.15,8671839564.0,78140316769.0,7984802692.0,1186805274.0,131489992318.0,1104606596889.0,,19972288609.0,129289083.0,6817569177.0,644119.0,38177300.0,20618540272.0,6907498771.0,203.521663066,203.05101,0.431917,,,0.015188129803830434,0.01808090651029036,0.00559984050162576,4.15,5.402430440141596,17.684776693582535,297.6102919727564,,1.3524304116104808
OnMultBlock,8192.0,256.0,184.949,615086747121.0,877762711175.0,1662617795415.0,2.7,3877451617655.0,4.42,40185025878.0,98342219317.0,817798644.0,932611094.0,472939948414.0,1102917450153.0,,32284855692.0,6476490637.0,6043588498.0,19139397.0,55229819.0,33306063164.0,6161131516.0,185.468648129,185.011804,0.419915,,,0.00948332364753521,0.029272232194278318,0.009138580334891623,4.42,5.9282883596113285,13.896988242864609,481.081838786602,,1.4840723180370337
OnMultBlock,8192.0,512.0,181.757,638640158573.0,852945560369.0,1792935892586.0,2.81,3865009042984.0,4.53,37482698986.0,90873800252.0,271998157.0,794513592.0,511136113807.0,1101791750999.0,,43707739875.0,4857081941.0,3574762590.0,0.0,107361636.0,44289567053.0,3686533162.0,182.220104516,181.806898,0.380932,,,0.00874304353726545,0.03966969242179384,0.03003322131106894,4.53,6.03397539857879,11.83917510509491,651.2960772961378,,1.510529737007321
OnMultBlock,10240.0,128.0,350.645,1173697101580.0,1710086628507.0,3441879775062.0,2.93,7616938034908.0,4.45,3014075557.0,10200906161.0,1176468630.0,1291768646.0,975090562718.0,2158751642084.0,,29951589745.0,361077467.0,576435031.0,4544808.0,25780387.0,29022712513.0,571868512.0,351.323435798,350.727344,0.522893,,,0.12663273493669383,0.013874495407950473,0.044723838097202664,4.45,6.112554498740403,12.319265804290772,285.6406187534332,,1.6186048729124867
OnMultBlock,10240.0,256.0,353.715,1130031632854.0,1729585506220.0,3390816298352.0,3.0,7572624732143.0,4.38,3940812423.0,222869323074.0,1229681402.0,1420095904.0,964672336349.0,2154174291063.0,,65687813498.0,600377833.0,13558403959.0,22993156.0,64101554.0,67584779246.0,13680686219.0,354.401891818,353.791145,0.535886,,,0.0063718769564731935,0.030493267778061568,0.004727809718152682,4.38,6.059458760177334,13.543089904785155,626.4478063392639,,1.6045451175046976
